unique_id,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons,row_id,cluster_id,confidence_score
INV-35880300029,2021-04-16,5572,Casey's General Store #2790 / Cedar Rapids,588 Boyson Rd NE #110,Cedar Rapids,52402,POINT (-91.641223 42.04673300000001),57,LINN,1081600,Whiskey Liqueur,421,SAZERAC COMPANY  INC,64904,Fireball Cinnamon Whiskey PET,6,1750,15.33,23,6,138,10.5,2.77,INV-35880300029,195,0.81
INV-42346600026,2021-11-24,3385,Sam's Club 8162 / Cedar Rapids,2605 Blairs Ferry Rd NE,Cedar Rapids,52402,POINT (-91.67969 42.031819),57,LINN,1012200,Scotch Whiskies,260,DIAGEO AMERICAS,5347,Johnnie Walker Red,12,1000,17.1,25.65,12,307.8,12,3.17,INV-42346600026,368,0.81
INV-42180800117,2021-11-19,2618,Hy-Vee Drugstore #6 / Cedar Rapids,505 Boyson Rd NE,Cedar Rapids,52402,POINT (-91.639265 42.046111),57,LINN,1031200,American Flavored Vodka,260,DIAGEO AMERICAS,77842,Smirnoff Strawberry,12,750,8.25,12.38,4,49.52,3,0.79,INV-42180800117,299,0.81
INV-34723400009,2021-03-03,2605,Hy-Vee Drugstore #5 / Cedar Rapids,2001 Blairs Ferry Road NE,Cedar Rapids,52402,POINT (-91.668919 42.034799),57,LINN,1031100,American Vodkas,421,SAZERAC COMPANY  INC,37418,Popov 80prf,6,1750,8.5,12.75,6,76.5,10.5,2.77,INV-34723400009,255,0.81
INV-42930100074,2021-12-15,2605,Hy-Vee Drugstore #5 / Cedar Rapids,2001 Blairs Ferry Road NE,Cedar Rapids,52402,POINT (-91.668919 42.034799),57,LINN,1022200,100% Agave Tequila,192,"Mast-Jagermeister US, Inc",88371,Teremana Blanco Tequila,6,750,14.94,22.41,2,44.82,1.5,0.39,INV-42930100074,255,0.81
INV-43924600101,2022-01-19,2605,Hy-Vee Drugstore #5 / Cedar Rapids,2001 Blairs Ferry Road NE,Cedar Rapids,52402,POINT (-91.668919 42.034799),57,LINN,1012200,Scotch Whiskies,260,DIAGEO AMERICAS,5318,Johnnie Walker Double Black,6,750,24.05,36.08,4,144.32,3,0.79,INV-43924600101,255,0.81
INV-37595700002,2021-06-17,5254,Discount Liquor,2933 1st Ave SE,Cedar Rapids,52402,POINT (-91.63487100000002 42.007104),57,LINN,1011100,Blended Whiskies,297,Laird & Company,23823,Five Star,48,200,1.31,1.97,48,94.56,9.6,2.53,INV-37595700002,1092,0.81
INV-36310400037,2021-05-04,5222,Leo1  /  Cedar Rapids,"1500, 1st  Ave NE",Cedar Rapids,52402,POINT (-91.652082 41.988229),57,LINN,1052100,Imported Brandies,260,DIAGEO AMERICAS,51109,Ciroc VS,12,1000,17.48,26.22,24,629.28,24,6.34,INV-36310400037,601,0.81
INV-40829400002,2021-10-10,5230,Point Liquor & Tobacco,"3221, Center Point Rd NE",Cedar Rapids,52402,POINT (-91.663629 42.01133),57,LINN,1081100,Coffee Liqueurs,370,PERNOD RICARD USA,67522,Kahlua Coffee Mini,12,50,6.6,9.9,12,118.8,0.6,0.15,INV-40829400002,795,0.81
INV-39979500018,2021-09-11,2569,Hy-Vee Food Store #2 / Cedar Rapids,279 Collins Road NE,Cedar Rapids,52402,POINT (-91.630677 42.027805),57,LINN,1041100,American Dry Gins,421,SAZERAC COMPANY  INC,30056,Fleischmanns Gin,12,750,3,4.5,6,27,4.5,1.18,INV-39979500018,466,0.81
INV-35357700001,2021-03-26,5569,Casey's General Store #2765 / Cedar Rapids,5050 Northland Ave NE,Cedar Rapids,52402,POINT (-91.631682 42.02846),57,LINN,1012100,Canadian Whiskies,259,Heaven Hill Brands,11786,Black Velvet PET,12,750,5.23,7.85,12,94.2,9,2.37,INV-35357700001,194,0.81
INV-42137500080,2021-11-18,3385,Sam's Club 8162 / Cedar Rapids,2605 Blairs Ferry Rd NE,Cedar Rapids,52402,POINT (-91.67969 42.031819),57,LINN,1011600,Straight Rye Whiskies,255,Infinium Spirits,27125,Templeton Rye 6YR,6,750,22.75,34.13,6,204.78,4.5,1.18,INV-42137500080,368,0.81
INV-43634900051,2022-01-10,2568,Hy-Vee Food Store #4 / Cedar Rapids,1556 First Avenue NE,Cedar Rapids,52402,POINT (-91.650957 41.988856),57,LINN,1071100,Cocktails /RTD,421,SAZERAC COMPANY  INC,57148,Chi-Chi's Margarita,6,1750,6.5,9.75,6,58.5,10.5,2.77,INV-43634900051,660,0.81
INV-38772400013,2021-07-29,3385,Sam's Club 8162 / Cedar Rapids,2605 Blairs Ferry Rd NE,Cedar Rapids,52402,POINT (-91.67969 42.031819),57,LINN,1022200,100% Agave Tequila,35,BACARDI USA INC,89121,Cazadores Reposado,12,750,14,21,36,756,27,7.13,INV-38772400013,368,0.81
